=== Run started  2025-11-09T12:52:54 ===
WILL_MOVE   | HSSJ | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Sudan\fsxcenery-airport-hssj-juba -> E:\MFS2020&2024 Addons\Airports\Africa\Sudan\fsxcenery-airport-hssj-juba
NO_MATCH    | HTMR | v1.1.1 | E:\MFS2020 Addons\Airports\Africa\Tanzania\projectcoastline-airport-htmr-msembe\manifest.json
NOOP        | HTKJ | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Tanzania\vuelosimple-airport-htkj-kilimanjaro\manifest.json
WILL_MOVE   | HTKJ | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Tanzania\vuelosimple-airport-htkj-kilimanjaro -> E:\MFS2020&2024 Addons\Airports\Africa\Tanzania\vuelosimple-airport-htkj-kilimanjaro
NOOP        | DXXX | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Togo\fsxcenery-airport-dxxx-lome-tokoin\manifest.json
WILL_MOVE   | DXXX | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Togo\fsxcenery-airport-dxxx-lome-tokoin -> E:\MFS2020&2024 Addons\Airports\Africa\Togo\fsxcenery-airport-dxxx-lome-tokoin
NO_MATCH    | DTKA | v1.2.0 | E:\MFS2020 Addons\Airports\Africa\Tunisia\c3d-airport-dtka-tabarka\manifest.json
NOOP        | DTTA | v1.0.1 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Tunisia\prealsoft-airport-dtta-tunis-carthage\manifest.json
WILL_MOVE   | DTTA | v1.0.1 | E:\MFS2020 Addons\Airports\Africa\Tunisia\prealsoft-airport-dtta-tunis-carthage -> E:\MFS2020&2024 Addons\Airports\Africa\Tunisia\prealsoft-airport-dtta-tunis-carthage
NO_MATCH    | FVHA | v2.1.0 | E:\MFS2020 Addons\Airports\Africa\Zimbabwe\fsxcenery-airport-fvha-robert-gabriel\manifest.json
NO_MATCH    | ???? | v1.1.2 | E:\MFS2020 Addons\Airports\Antarctica\aerosoft-scenery-antarctica-vol-1\manifest.json
NO_MATCH    | UDKS | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Armenia\amsim-airport-udks-stepanakert\manifest.json
NO_MATCH    | UDSG | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Armenia\amsim-airport-udsg-shirak\manifest.json
NO_MATCH    | UDYZ | v2.0.0 | E:\MFS2020 Addons\Airports\Asia\Armenia\amsim-airport-udyz-zvartnots\manifest.json
NO_MATCH    | MFSG | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Burma\mfsg-airport-vyyy-yangon\manifest.json
NOOP        | ZBZL | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\China\catchstar-airport-zbzl-zhalantun\manifest.json
WILL_MOVE   | ZBZL | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\China\catchstar-airport-zbzl-zhalantun -> E:\MFS2020&2024 Addons\Airports\Asia\China\catchstar-airport-zbzl-zhalantun
NOOP        | ZUHZ | v2.1.3 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\China\catchstar-airport-zuhz-jintang-huaizhou\manifest.json
WILL_MOVE   | ZUHZ | v2.1.3 | E:\MFS2020 Addons\Airports\Asia\China\catchstar-airport-zuhz-jintang-huaizhou -> E:\MFS2020&2024 Addons\Airports\Asia\China\catchstar-airport-zuhz-jintang-huaizhou
NOOP        | ZUUU | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\China\dominicdesignteam-airport-zuuu-chengdu-shuangliu\manifest.json
WILL_MOVE   | ZUUU | v1.1.0 | E:\MFS2020 Addons\Airports\Asia\China\dominicdesignteam-airport-zuuu-chengdu-shuangliu -> E:\MFS2020&2024 Addons\Airports\Asia\China\dominicdesignteam-airport-zuuu-chengdu-shuangliu
NO_MATCH    | ZGSZ | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\China\doublet-airport-zgsz-shenzhen-baoan\manifest.json
NOOP        | ZLDH | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\China\routeannstudio-airport-zldh-dunhuang-mogao\manifest.json
WILL_MOVE   | ZLDH | v1.1.0 | E:\MFS2020 Addons\Airports\Asia\China\routeannstudio-airport-zldh-dunhuang-mogao -> E:\MFS2020&2024 Addons\Airports\Asia\China\routeannstudio-airport-zldh-dunhuang-mogao
NOOP        | ZSOF | v1.3.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\China\routeannstudio-airport-zsof-hefei-xinqiao\manifest.json
WILL_MOVE   | ZSOF | v1.3.0 | E:\MFS2020 Addons\Airports\Asia\China\routeannstudio-airport-zsof-hefei-xinqiao -> E:\MFS2020&2024 Addons\Airports\Asia\China\routeannstudio-airport-zsof-hefei-xinqiao
NO_MATCH    | SKVG | v1.1.0 | E:\MFS2020 Addons\Airports\Asia\China\simdesignsco-airport-skvg-villa-garzon\manifest.json
NOOP        | ZSNJ | v1.0.1 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\China\wfscenerystudio-airport-zsnj-nanjing-lukou\manifest.json
WILL_SKIP_EXIST | ZSNJ | v1.0.1 | dest exists | E:\MFS2020&2024 Addons\Airports\Asia\China\wfscenerystudio-airport-zsnj-nanjing-lukou
NOOP        | ZBMZ | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\China\zhoukess-airport-zbmz-manzhouli-xijiao\manifest.json
WILL_MOVE   | ZBMZ | v1.1.0 | E:\MFS2020 Addons\Airports\Asia\China\zhoukess-airport-zbmz-manzhouli-xijiao -> E:\MFS2020&2024 Addons\Airports\Asia\China\zhoukess-airport-zbmz-manzhouli-xijiao
NOOP        | ZGHA | v3.4.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\China\zhoukess-airport-zgha-huanghua\manifest.json
WILL_MOVE   | ZGHA | v3.4.0 | E:\MFS2020 Addons\Airports\Asia\China\zhoukess-airport-zgha-huanghua -> E:\MFS2020&2024 Addons\Airports\Asia\China\zhoukess-airport-zgha-huanghua
NOOP        | ZWSH | v1.0.2 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\China\zhoukess-airport-zwsh-kashi\manifest.json
WILL_MOVE   | ZWSH | v1.0.2 | E:\MFS2020 Addons\Airports\Asia\China\zhoukess-airport-zwsh-kashi -> E:\MFS2020&2024 Addons\Airports\Asia\China\zhoukess-airport-zwsh-kashi
NOOP        | VEPT | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\India\alkee-airport-vept-jay-prakash\manifest.json
WILL_MOVE   | VEPT | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\India\alkee-airport-vept-jay-prakash -> E:\MFS2020&2024 Addons\Airports\Asia\India\alkee-airport-vept-jay-prakash
NO_MATCH    | VOHS | v2.0.0 | E:\MFS2020 Addons\Airports\Asia\India\cascadiaapproach-airport-vohs-rajiv-gandhi\manifest.json
NO_MATCH    | VIDP | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\India\feelthere-airport-vidp-indira-gandhi\manifest.json
NOOP        | VABB | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\India\mskproductions-airport-vabb-chhatrapati\manifest.json
WILL_MOVE   | VABB | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\India\mskproductions-airport-vabb-chhatrapati -> E:\MFS2020&2024 Addons\Airports\Asia\India\mskproductions-airport-vabb-chhatrapati
NO_MATCH    | VIJP | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\India\skymatrix-airport-vijp-jaipur\manifest.json
NOOP        | WAHS | v1.0.1 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\aeronoms-airport-wahs-jenderal-ahmad\manifest.json
WILL_MOVE   | WAHS | v1.0.1 | E:\MFS2020 Addons\Airports\Asia\Indonesia\aeronoms-airport-wahs-jenderal-ahmad -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\aeronoms-airport-wahs-jenderal-ahmad
NOOP        | WIKK | v1.0.1 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\aeronoms-airport-wikk-depati-amir\manifest.json
WILL_MOVE   | WIKK | v1.0.1 | E:\MFS2020 Addons\Airports\Asia\Indonesia\aeronoms-airport-wikk-depati-amir -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\aeronoms-airport-wikk-depati-amir
NOOP        | WADD | v1.2.1 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\aerosoft-airport-wadd-ngurah-rai\manifest.json
WILL_MOVE   | WADD | v1.2.1 | E:\MFS2020 Addons\Airports\Asia\Indonesia\aerosoft-airport-wadd-ngurah-rai -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\aerosoft-airport-wadd-ngurah-rai
NOOP        | WATO | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\aerosoft-airport-wato-komodo\manifest.json
WILL_MOVE   | WATO | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\aerosoft-airport-wato-komodo -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\aerosoft-airport-wato-komodo
NOOP        | WAJJ | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Indonesia\binersim-airport-wajj-sentani\manifest.json
WILL_MOVE   | WAJJ | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\binersim-airport-wajj-sentani -> E:\MFS2020&2024 Addons\Airports\Asia\Indonesia\binersim-airport-wajj-sentani
NO_MATCH    | WIHH | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Indonesia\binersim-airport-wihh-halim-perdanakusuma\manifest.json
